Cycle,Discharge_Capacity(Ah)
1,2.2861189840000002
2,2.290557861
3,2.30786705
4,2.3080496790000002
5,2.318817377
6,2.314968586
7,2.324620485
8,2.326951742
9,2.324119091
10,2.3219952580000003
11,2.3157720569999998
12,2.321668625
13,2.322427034
14,2.32247138
15,2.3320784569999997
16,2.3420784569999995
17,2.324419975
18,2.3194069859999997
19,2.320983648
20,2.318331003
21,2.3203053469999997
22,2.316881895
23,2.31978178
24,2.32978178
25,2.32087636
26,2.3119854930000003
27,2.315386295
28,2.311706305
29,2.313328028
30,2.319232464
31,2.311546564
32,2.3215465639999997
33,2.320203304
34,2.314554453
35,2.3245544529999997
36,2.312276363
37,2.3083860869999997
38,2.3183860869999995
39,2.318809748
40,2.31463623
41,2.308625937
42,2.3142008780000003
43,2.297428608
44,2.3024113180000003
45,2.3052473069999997
46,2.3152473069999995
47,2.3109788890000003
48,2.320978889
49,2.309292316
50,2.308887482
51,2.3188874819999996
52,2.306432009
53,2.301887989
54,2.304659605
55,2.3146596049999997
56,2.303466082
57,2.300630569
58,2.2990098
59,2.298481226
60,2.3084812259999996
61,2.298337221
62,2.293339491
63,2.296980381
64,2.293278694
65,2.29396987
66,2.290543556
67,2.286721706
68,2.266577721
69,2.28175211
70,2.2917521099999996
71,2.2772130969999997
72,2.277302742
73,2.2873027419999996
74,2.281272888
75,2.271165609
76,2.27850771
77,2.273855925
78,2.2838559249999997
79,2.2793250080000003
80,2.2775287630000003
81,2.277444601
82,2.287444601
83,2.2742993830000002
84,2.270879745
85,2.271537781
86,2.265888453
87,2.275888453
88,2.26294136
89,2.253746271
90,2.2637462709999996
91,2.255735159
92,2.263768673
93,2.256299734
94,2.254527092
95,2.2568690780000003
96,2.247709513
97,2.252438784
98,2.243397951
99,2.247792482
100,2.246077538
101,2.256077538
102,2.244421959
103,2.240085125
104,2.239709854
105,2.23197484
106,2.236642599
107,2.246642599
108,2.23666954
109,2.2466695399999996
110,2.235293865
111,2.2345991130000002
112,2.228745461
113,2.229367971
114,2.225630045
115,2.224897623
116,2.2208437919999997
117,2.217794657
118,2.216031551
119,2.211256266
120,2.2212562659999997
121,2.2093827719999997
122,2.20701623
123,2.204169989
124,2.2141699889999997
125,2.199810028
126,2.2098100279999997
127,2.187442303
128,2.185400248
129,2.195400248
130,2.17726469
131,2.180934906
132,2.190934906
133,2.178127289
134,2.1881272889999996
135,2.1671125890000003
136,2.170571089
137,2.158330679
138,2.168330679
139,2.16067481
140,2.161353111
141,2.154817343
142,2.154210567
143,2.153565407
144,2.146312714
145,2.141958952
146,2.129760981
147,2.118985415
148,2.112816572
149,2.1228165719999996
150,2.108999252
151,2.083664417
152,2.075774431
153,2.085774431
154,2.058448076
155,2.054875374
156,2.057830811
157,2.067830811
158,2.065767765
159,2.068423033
160,2.052652836
161,2.061956167
162,2.051612139
163,2.0538346769999998
164,2.0528388019999997
165,2.050161123
166,2.045765877
167,2.055765877
168,2.041036367
169,2.044927359
170,2.041991234
171,2.051991234
172,2.0288124080000003
173,2.014576197
174,2.0023159980000003
175,2.012315998
176,1.985516071
177,1.9929189680000001
178,1.9829094409999999
179,1.979810715
180,1.954792261
181,1.960750222
182,1.970750222
183,1.924436569
184,1.9045140740000002
185,1.894013762
186,1.896504641
187,1.87485528
188,1.88485528
189,1.868929029
190,1.878929029
191,1.850984931
192,1.860984931
193,1.845830679
194,1.8438853030000002
195,1.8538853030000002
196,1.8402745719999998
197,1.828945279
198,1.838945279
199,1.8167591090000001
200,1.8039685490000001
201,1.80495584
202,1.791924834
203,1.801924834
204,1.79479444
205,1.7845627069999999
206,1.7945627069999999
207,1.76995337
208,1.78179729
209,1.76349771
210,1.7573145630000002
211,1.741465449
212,1.757168293
213,1.7671682930000001
214,1.7342802290000001
215,1.7084149119999998
