Cycle,Discharge_Capacity(Ah),knn,particle_filter
1,2.2861189840000002,2.1383042600860667,2.2861189840000002
2,2.290557861,2.424656297356885,2.5363103601413677
3,2.30786705,2.3981223893162245,2.2112594161917234
4,2.3080496790000002,2.5287492146151105,2.3469049476639188
5,2.318817377,2.453101076324697,2.530954840986148
6,2.314968586,2.7303448222584423,2.2534269146184944
7,2.324620485,2.452008249763055,2.2158049742503985
8,2.326951742,2.3738314495060386,2.377666373257612
9,2.324119091,2.0154986878371175,2.1892600019832797
10,2.3219952580000003,2.2500326474960293,2.482814572209764
11,2.3157720569999998,2.168892503316988,2.31804056484814
12,2.321668625,2.1648127472004317,2.2292558647436134
13,2.322427034,2.9026316028984693,2.1764561110010563
14,2.32247138,1.5853721615247873,2.316246241409492
15,2.3320784569999997,2.2473925060435143,2.0900999459688707
16,2.3420784569999995,2.3131874224643694,2.4880876909576664
17,2.324419975,2.4155260626326536,2.2641561203296736
18,2.3194069859999997,2.4927658959395345,2.4315353786804117
19,2.320983648,2.2046063660025723,2.44611520653594
20,2.318331003,2.930406833705436,2.2444561565661427
21,2.3203053469999997,2.454499728193553,2.2254981822935025
22,2.316881895,2.2320763401564965,2.2998081191396933
23,2.31978178,2.342795326328357,2.495767404829949
24,2.32978178,2.327256367637053,2.5148761245776883
25,2.32087636,2.3803206142695923,2.3888748457736555
26,2.3119854930000003,2.854609635474608,2.2215838046120955
27,2.315386295,2.8505198385384976,2.4869578317417944
28,2.311706305,2.162177676659176,2.08670474596612
29,2.313328028,2.4618363561575007,2.4237651825371094
30,2.319232464,2.1621136732614183,2.4545009813220338
31,2.311546564,2.5098394031104854,2.4575814582466227
32,2.3215465639999997,2.3623341664007165,2.241881461164182
33,2.320203304,2.267298823909943,2.221193804131052
34,2.314554453,2.3380187325774453,2.227061056832043
35,2.3245544529999997,2.709680168944053,2.3761900923722714
36,2.312276363,2.399729692993315,2.2384178308635443
37,2.3083860869999997,2.4945300801144232,2.768470551345001
38,2.3183860869999995,2.638906658798042,2.291940792637804
39,2.318809748,2.297786744673318,2.1376953524416518
40,2.31463623,2.602614901212681,2.4285587420724815
41,2.308625937,2.357993291965922,2.3773773009460992
42,2.3142008780000003,2.1380666915090947,2.375536728184424
43,2.297428608,1.9893341347317943,2.595928970391456
44,2.3024113180000003,2.2671317106627096,2.270707207565992
45,2.3052473069999997,2.423956703328582,2.1908050741387615
46,2.3152473069999995,2.2017907872102374,2.171452916558368
47,2.3109788890000003,2.173555796496806,2.346769250229886
48,2.320978889,2.124415733483662,2.296675317561602
49,2.309292316,2.49100455461059,2.1890440335835257
50,2.308887482,2.1851873652840093,2.047861686707495
51,2.3188874819999996,2.208280999394655,2.456475999965329
52,2.306432009,2.474363775500163,2.128471239282978
53,2.301887989,2.3640924511191654,2.6176977055031325
54,2.304659605,2.6110773964901255,2.368785858129077
55,2.3146596049999997,1.7592004491759468,2.237981672512398
56,2.303466082,2.5463440620980875,2.272815433264912
57,2.300630569,2.268363810619886,2.5152970302787767
58,2.2990098,2.325125166676335,2.5210250709963837
59,2.298481226,1.8091671578280488,2.52265147628902
60,2.3084812259999996,1.9711829433684416,2.276429848013453
61,2.298337221,2.2612863165995067,2.1236022353863313
62,2.293339491,2.4895947100386495,2.131947098552155
63,2.296980381,2.3304540755650147,2.276287777698541
64,2.293278694,2.0598372353697285,2.4452758063828473
65,2.29396987,2.3601899710855707,2.258942486945508
66,2.290543556,2.584069142190022,2.384397432324373
67,2.286721706,2.02022739507489,2.2156740094878966
68,2.266577721,2.5463240288739106,2.20026683891343
69,2.28175211,2.008522257361427,1.9882144231824523
