Cycle,Discharge_Capacity(Ah),knn,particle_filter,rvm,dcnn
1,2.316092014,2.543571388027779,2.316092014,2.3511504285156724,2.14044261
2,2.331230402,2.5342779514884457,2.3905401706686846,2.305569798369336,2.3390638829999997
3,2.349842072,2.2534349141867556,2.7689441778212656,2.3753446475472084,2.320638417
4,2.349978447,2.300276871830954,2.4969677661295213,2.340673228901954,2.3931584370000003
5,2.361828327,2.2581641541496578,2.5674748948546835,2.4665666630325034,2.291735889
6,2.356217146,2.2011765299937993,2.273474994177801,2.341456720327655,2.319374562
7,2.363932133,2.5140955718363722,2.2901233070347224,2.379708352287818,2.320616961
8,2.369082689,2.0909535563498833,2.34571437031458,2.3650705197861375,2.350350618
9,2.364971161,2.1252152606257844,2.507551119557995,2.323122651465621,2.2778911589999997
10,2.363905907,2.284906260248839,2.2867124003532817,2.3793221702149205,2.339985372
11,2.3739059069999997,2.323977782379818,1.9029329434156113,2.3518627480343546,2.339985372
12,2.364419222,2.2483327396658437,2.3289474469102793,2.3337003032897394,2.360487699
13,2.381444931,2.1150779413309615,2.295742743076068,2.340424985474552,2.2733747970000002
14,2.366042614,1.6231029532556507,2.351092866859669,2.4156174294069297,2.35326171
15,2.378706694,2.5437311383044072,2.5300485186685524,2.362508539157914,2.3692102439999996
16,2.35980916,2.4643837584490695,2.4575750750074303,2.3870435525554443,2.274068355
17,2.365001678,2.2757330197561627,2.2180857638778586,2.3510662636599875,2.336189031
18,2.375001678,2.3164047998162762,2.392423102227676,2.394548063728222,2.336189031
19,2.36789155,2.7116416831385064,2.1444144448600477,2.406408698073599,2.337509631
20,2.362231255,2.23329755313813,2.451131006026631,2.375367568077193,2.283084153
21,2.372231255,2.507357092534345,2.2521426088468703,2.341386990103356,2.283084153
22,2.364885807,2.555032096679646,2.3330029365313094,2.3874795017192207,2.303778888
23,2.365369797,2.113233379274859,2.6120533599567857,2.31647320106279,2.303968668
24,2.3606786730000002,2.6668003389861106,2.517952412179171,2.3744023599115294,2.377952814
25,2.364488125,2.296312336091477,2.2943870972510285,2.3898962662089214,2.32185006
26,2.3744881249999996,2.122030648947281,2.3540521768798146,2.369395244509646,2.32185006
27,2.365087509,2.3575315515121833,2.459666640329006,2.3875605186823425,2.2706556329999996
28,2.3750875089999997,2.2424469365311643,2.2873113109051104,2.3591839211886336,2.2706556329999996
29,2.366091251,2.026291970061822,2.5913812331958113,2.4032851104825648,2.336971521
30,2.371589899,2.41275437152891,2.0670871409619034,2.3025569388711755,2.252674341
31,2.361962795,2.2387548573873044,2.0232534023995985,2.305672954058848,2.3401117320000004
32,2.356613398,1.7555348916034546,2.4594628810829504,2.354637185835976,2.3132779589999997
33,2.3601360319999998,2.1525233419925116,2.6770497037703773,2.4132913742715267,2.2753674989999997
34,2.361425638,2.340538402841998,2.372379731345297,2.3515359318373936,2.369923353
35,2.354542017,2.3372311289368324,2.43362245553799,2.346830231141633,2.366571189
36,2.3645420169999998,2.169236948704005,2.2285557411799504,2.3536874607239793,2.366571189
37,2.363990545,2.1755476726949032,2.6221724501535935,2.4571410762076455,2.263017177
38,2.363903999,1.8842115389766652,2.1314893561415253,2.281174151064478,2.2732589250000004
39,2.354526758,2.382886653529052,2.3175176189959417,2.348261365320463,2.270501136
40,2.354223728,2.1910880496021226,2.2055678470673463,2.3712763786642532,2.31390357
41,2.364223728,2.3932688983491155,2.5217405208347055,2.4472866852724087,2.31390357
42,2.350059032,2.4915306021309136,2.0191832748705028,2.3197337112935212,2.227947951
43,2.3471591469999997,2.2531894884502255,2.3455278654650646,2.256016025813185,2.3224701870000004
44,2.351030588,2.4754084637771503,2.2564939699716176,2.461700923255736,2.273883105
45,2.354115963,2.1356162761065582,2.2372763695660014,2.35682600639075,2.27704668
46,2.3463697430000003,2.0519488793967398,2.388405601996653,2.4118719678161558,2.259057759
47,2.356369743,2.244043936768603,2.0593849422913726,2.4225513780041665,2.259057759
48,2.355755091,2.1524271620037903,2.3445770016837604,2.3417936137683775,2.307040692
49,2.35188365,2.5327356032106203,2.2777864566638772,2.3041752005195253,2.312484264
50,2.35471797,2.241674437578691,2.504240496763157,2.274375016001716,2.317583322
51,2.3647179699999996,2.2017116064509565,2.5772255601954455,2.3281483782155417,2.317583322
52,2.354157448,1.8990120288805465,2.0246691921228654,2.3459673702348476,2.3145070079999996
53,2.364157448,2.634666466209193,2.1292338489806317,2.324052587010072,2.3145070079999996
54,2.351190805,2.080423375992065,2.4618887924435504,2.3350524420430223,2.3138813970000003
55,2.349850178,2.325484871597923,2.6094319188611266,2.446686268970137,2.236536981
56,2.347942829,2.0895947450500882,2.2764098530789427,2.3488946337967413,2.344371795
57,2.349214554,2.0443106963060886,2.4170520895413334,2.3002238457240796,2.3272783770000003
58,2.359214554,3.006656788500844,2.213988666442858,2.3389016103451685,2.3272783770000003
59,2.353084326,2.3076087034151778,2.5080226759814117,2.335808006145516,2.328163623
60,2.3630843259999996,1.978237040649187,2.374721570775606,2.3442503212917245,2.328163623
61,2.3500883580000003,2.6933529440964414,2.3689262869884615,2.388219470465777,2.294430255
62,2.360088358,2.198520648954028,2.2362967047624522,2.3140292776538534,2.294430255
63,2.338079691,2.399169606151683,2.192214553557796,2.336557202860723,2.243215083
64,2.344688177,2.234442533269477,2.2693035337767564,2.3507458196936786,2.2818956370000003
65,2.354688177,2.165814631491685,2.4339695586775223,2.3300826373332804,2.2818956370000003
66,2.342406273,2.2729980943964625,2.5034193531363336,2.308179298762258,2.269946814
67,2.339022398,2.28762098838437,2.262178651953188,2.288406398125792,2.2278013229999996
68,2.349022398,2.198417836955303,2.6275604844269,2.337981202637095,2.2278013229999996
69,2.327121735,2.1458011381667204,2.2846354419843298,2.4478136409340197,2.214071274
70,2.3371217349999998,1.9624308411319102,2.081113935779135,2.3154351343163126,2.214071274
71,2.330416441,2.5630236327869023,2.3373476323475835,2.379029866224538,2.2974061979999996
72,2.340416441,2.337735530558069,2.3063451804740702,2.315341959609581,2.2974061979999996
73,2.333186388,2.6006484125534355,2.112076514322433,2.3958637672951073,2.2786803239999998
74,2.32742238,2.127948500195344,2.2728563518297267,2.270747367068757,2.258447409
75,2.334947348,2.513011156802101,2.3861264698206823,2.2880164199114903,2.299614429
76,2.330262184,2.2262363609761535,2.3979339977235155,2.2956219502877224,2.229641676
77,2.336861849,2.4501782911534558,2.1532097761428357,2.3140383658543846,2.329953909
78,2.33698678,1.9458519234321683,2.2152625280809453,2.344400613183903,2.218303443
79,2.34698678,2.4643142535879075,2.322809072158221,2.324165692118846,2.218303443
80,2.3356997969999997,2.3403809621413116,2.2648925202628045,2.2663501700827804,2.218967676
81,2.336546659,2.1503228675823305,2.508975004135977,2.3873859028257316,2.2134544860000003
82,2.346546659,1.938729222876292,2.464568975488403,2.365314655230278,2.2134544860000003
83,2.33430624,2.149327695045065,2.439244930433008,2.2889407355401437,2.3249373450000004
