Cycle,Discharge_Capacity(Ah)
1,2.286118984
2,2.290557861
3,2.30786705
4,2.308049679
5,2.318817377
6,2.314968586
7,2.324620485
8,2.326951742
9,2.324119091
10,2.321995258
11,2.315772057
12,2.321668625
13,2.322427034
14,2.32247138
15,2.332078457
16,2.646749258
17,2.324419975
18,2.319406986
19,2.320983648
20,2.318331003
21,2.320305347
22,2.316881895
23,2.31978178
24,2.643649101
25,2.32087636
26,2.311985493
27,2.315386295
28,2.311706305
29,2.313328028
30,2.319232464
31,2.311546564
32,2.638468742
33,2.320203304
34,2.314554453
35,2.635427713
36,2.312276363
37,2.308386087
38,2.635075331
39,2.318809748
40,2.31463623
41,2.308625937
42,2.314200878
43,2.297428608
44,2.302411318
45,2.305247307
46,2.625072479
47,2.310978889
48,2.627326488
49,2.309292316
50,2.308887482
51,2.625398636
52,2.306432009
53,2.301887989
54,2.304659605
55,2.622068405
56,2.303466082
57,2.300630569
58,2.2990098
59,2.298481226
60,2.616241217
61,2.298337221
62,2.293339491
63,2.296980381
64,2.293278694
65,2.29396987
66,2.290543556
67,2.286721706
68,2.266577721
69,2.28175211
70,2.601011515
71,2.277213097
72,2.277302742
73,2.595989466
74,2.281272888
75,2.271165609
76,2.27850771
77,2.273855925
78,2.597117662
79,2.279325008
80,2.277528763
81,2.277444601
82,2.59364748
83,2.274299383
84,2.270879745
85,2.271537781
86,2.265888453
87,2.584455729
88,2.26294136
89,2.253746271
90,2.582983732
91,2.255735159
92,2.263768673
93,2.256299734
94,2.254527092
95,2.256869078
96,2.247709513
97,2.252438784
98,2.243397951
99,2.247792482
100,2.246077538
101,2.569741249
102,2.244421959
103,2.240085125
104,2.239709854
105,2.23197484
106,2.236642599
107,2.561224222
108,2.23666954
109,2.559221745
110,2.235293865
111,2.234599113
112,2.228745461
113,2.229367971
114,2.225630045
115,2.224897623
116,2.220843792
117,2.217794657
118,2.216031551
119,2.211256266
120,2.540522337
121,2.209382772
122,2.20701623
123,2.204169989
124,2.530222893
125,2.199810028
126,2.525406361
127,2.187442303
128,2.185400248
129,2.52043581
130,2.17726469
131,2.180934906
132,2.515809774
133,2.178127289
134,2.511577129
135,2.167112589
136,2.170571089
137,2.158330679
138,2.501663446
139,2.16067481
140,2.161353111
141,2.154817343
142,2.154210567
143,2.153565407
144,2.146312714
145,2.141958952
146,2.129760981
147,2.118985415
148,2.112816572
149,2.459622383
150,2.108999252
151,2.083664417
152,2.075774431
153,2.433556557
154,2.058448076
155,2.054875374
156,2.057830811
157,2.434994698
158,2.065767765
159,2.068423033
160,2.052652836
161,2.061956167
162,2.051612139
163,2.053834677
164,2.052838802
165,2.050161123
166,2.045765877
167,2.401938438
168,2.041036367
169,2.044927359
170,2.041991234
171,2.384783745
172,2.028812408
173,2.014576197
174,2.002315998
175,2.354233027
176,1.985516071
177,1.992918968
178,1.982909441
179,1.979810715
180,1.954792261
181,1.960750222
182,2.312102556
183,1.924436569
184,1.904514074
185,1.894013762
186,1.896504641
187,1.87485528
188,2.26905632
189,1.868929029
190,2.253470898
191,1.850984931
192,2.240224123
193,1.845830679
194,1.843885303
195,2.230999947
196,1.840274572
197,1.828945279
198,2.202867508
199,1.816759109
200,1.803968549
201,1.80495584
202,1.791924834
203,2.177678347
204,1.79479444
205,1.784562707
206,2.166180134
207,1.76995337
208,1.78179729
209,1.76349771
210,1.757314563
211,1.741465449
212,1.757168293
213,2.118332148
214,1.734280229
215,1.708414912
